experiment,well,strain,DS
RA00002_130619,CAM034A1,tph-1,0
RA00002_130619,CAM035A1,tph-1,0
RA00002_130619,CAM035A2,tph-1,0
RA00002_130619,CAM035A3,tph-1,0
RA00002_130619,CAM035A4,tph-1,0
RA00002_130619,CAM035A6,tph-1,0
RA00002_130619,CAM037A2,tph-1,0
RA00002_130619,CAM037A4,tph-1,0
RA00002_130619,CAM037A5,tph-1,0
RA00002_130619,CAM302A1,tph-1,0
RA00002_130619,CAM302A2,tph-1,0
RA00002_130619,CAM302A3,tph-1,0
RA00002_130619,CAM302A4,tph-1,0
RA00002_130619,CAM302A6,tph-1,0
RA00002_130619,CAM307A1,tph-1,0
RA00002_130619,CAM307A2,tph-1,0
RA00002_130619,CAM307A4,tph-1,0
RA00002_130619,CAM307A5,tph-1,0
RA00002_130619,CAM307A6,tph-1,0
RA00002_130619,CAM516A1,tph-1,0
RA00002_130619,CAM516A2,tph-1,0
RA00002_130619,CAM516A3,tph-1,0
RA00002_130619,CAM516A4,tph-1,0
RA00002_130619,CAM516A5,tph-1,0
RA00002_130619,CAM516A6,tph-1,0
RA00010_160619,CAM034A3,tph-1,0
RA00010_160619,CAM035A1,tph-1,0
RA00010_160619,CAM035A2,tph-1,0
RA00010_160619,CAM035A3,tph-1,0
RA00010_160619,CAM035A4,tph-1,0
RA00010_160619,CAM035A5,tph-1,0
RA00010_160619,CAM035A6,tph-1,0
RA00010_160619,CAM037A1,tph-1,0
RA00010_160619,CAM037A2,tph-1,0
RA00010_160619,CAM037A4,tph-1,0
RA00010_160619,CAM037A5,tph-1,0
RA00010_160619,CAM037A6,tph-1,0
RA00010_160619,CAM302A1,tph-1,0
RA00010_160619,CAM302A2,tph-1,0
RA00010_160619,CAM302A3,tph-1,0
RA00010_160619,CAM302A4,tph-1,0
RA00010_160619,CAM302A5,tph-1,0
RA00010_160619,CAM302A6,tph-1,0
RA00010_160619,CAM307A4,tph-1,0
RA00010_160619,CAM307A5,tph-1,0
RA00010_160619,CAM516A1,tph-1,0
RA00010_160619,CAM516A2,tph-1,0
RA00010_160619,CAM516A3,tph-1,0
RA00010_160619,CAM516A4,tph-1,0
RA00010_160619,CAM516A5,tph-1,0
RA00010_160619,CAM516A6,tph-1,0
RA00017_250819,CAM034A3,N2,3
RA00017_250819,CAM034A5,N2,3
RA00017_250819,CAM035A2,N2,3
RA00017_250819,CAM035A3,N2,3
RA00017_250819,CAM035A4,N2,3
RA00017_250819,CAM035A6,N2,3
RA00017_250819,CAM037A1,N2,3
RA00017_250819,CAM037A2,N2,3
RA00017_250819,CAM037A3,N2,3
RA00017_250819,CAM037A4,N2,3
RA00017_250819,CAM037A5,N2,3
RA00017_250819,CAM037A6,N2,3
